Posi��o no dep�sito;Tipo de dep�sito;Corr.pos.dep.;Col.posi��o dep�sito;N�vel da posi��o;Subdiv.pos.dep.;Bloq.entr.dep�sito;Bloq.sa�da depos.;Estrutura;Tipo;Qtd. Caixas BIN ABASTECIMENTO;Desc_Tp;Desc_tipo_knapp
M70318020405;M700;M703;18;04;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020404;M700;M703;18;04;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020403;M700;M703;18;04;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020402;M700;M703;18;04;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020401;M700;M703;18;04;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020305;M700;M703;18;03;05;X;X;Controlados;Estanteria;2;Estanteria;B2ES
M70318020304;M700;M703;18;03;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020303;M700;M703;18;03;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020302;M700;M703;18;03;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020301;M700;M703;18;03;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020205;M700;M703;18;02;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020204;M700;M703;18;02;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020203;M700;M703;18;02;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020202;M700;M703;18;02;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020201;M700;M703;18;02;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020105;M700;M703;18;01;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020104;M700;M703;18;01;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020103;M700;M703;18;01;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020102;M700;M703;18;01;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70318020101;M700;M703;18;01;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020405;M700;M703;17;04;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020404;M700;M703;17;04;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020403;M700;M703;17;04;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020402;M700;M703;17;04;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020401;M700;M703;17;04;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020305;M700;M703;17;03;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020304;M700;M703;17;03;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020303;M700;M703;17;03;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020302;M700;M703;17;03;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70317020301;M700;M703;17;03;01;;;Controlados;Estanteria;2;Estanteria;B2ES
