Posi��o no dep�sito;Tipo de dep�sito;Corr.pos.dep.;Col.posi��o dep�sito;N�vel da posi��o;Subdiv.pos.dep.;Bloq.entr.dep�sito;Bloq.sa�da depos.;Estrutura;Tipo;Qtd. Caixas BIN ABASTECIMENTO;Desc_Tp;Desc_tipo_knapp
M50410020401;M400;M504;10;04;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020305;M400;M504;10;03;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020304;M400;M504;10;03;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020303;M400;M504;10;03;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020302;M400;M504;10;03;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020301;M400;M504;10;03;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020205;M400;M504;10;02;05;X;X;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020204;M400;M504;10;02;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020203;M400;M504;10;02;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020202;M400;M504;10;02;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020201;M400;M504;10;02;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020105;M400;M504;10;01;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020104;M400;M504;10;01;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020103;M400;M504;10;01;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020102;M400;M504;10;01;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50410020101;M400;M504;10;01;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020605;M400;M504;09;06;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020604;M400;M504;09;06;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020603;M400;M504;09;06;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020602;M400;M504;09;06;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020601;M400;M504;09;06;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020505;M400;M504;09;05;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020504;M400;M504;09;05;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020503;M400;M504;09;05;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020502;M400;M504;09;05;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020501;M400;M504;09;05;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020405;M400;M504;09;04;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020404;M400;M504;09;04;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020403;M400;M504;09;04;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020402;M400;M504;09;04;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020401;M400;M504;09;04;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020305;M400;M504;09;03;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020304;M400;M504;09;03;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020303;M400;M504;09;03;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020302;M400;M504;09;03;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020301;M400;M504;09;03;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020205;M400;M504;09;02;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020204;M400;M504;09;02;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020203;M400;M504;09;02;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020202;M400;M504;09;02;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020201;M400;M504;09;02;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020105;M400;M504;09;01;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020104;M400;M504;09;01;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020103;M400;M504;09;01;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020102;M400;M504;09;01;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50409020101;M400;M504;09;01;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020605;M400;M504;08;06;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020604;M400;M504;08;06;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020603;M400;M504;08;06;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020602;M400;M504;08;06;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020601;M400;M504;08;06;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020505;M400;M504;08;05;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020504;M400;M504;08;05;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020503;M400;M504;08;05;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020502;M400;M504;08;05;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020501;M400;M504;08;05;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020405;M400;M504;08;04;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020404;M400;M504;08;04;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020403;M400;M504;08;04;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020402;M400;M504;08;04;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020401;M400;M504;08;04;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020305;M400;M504;08;03;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020304;M400;M504;08;03;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020303;M400;M504;08;03;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020302;M400;M504;08;03;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020301;M400;M504;08;03;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020205;M400;M504;08;02;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020204;M400;M504;08;02;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020203;M400;M504;08;02;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020202;M400;M504;08;02;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020201;M400;M504;08;02;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020105;M400;M504;08;01;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020104;M400;M504;08;01;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020103;M400;M504;08;01;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020102;M400;M504;08;01;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50408020101;M400;M504;08;01;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020605;M400;M504;07;06;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020604;M400;M504;07;06;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020603;M400;M504;07;06;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020602;M400;M504;07;06;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020601;M400;M504;07;06;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020505;M400;M504;07;05;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020504;M400;M504;07;05;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020503;M400;M504;07;05;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020502;M400;M504;07;05;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020501;M400;M504;07;05;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020405;M400;M504;07;04;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020404;M400;M504;07;04;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020403;M400;M504;07;04;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020402;M400;M504;07;04;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020401;M400;M504;07;04;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020305;M400;M504;07;03;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020304;M400;M504;07;03;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020303;M400;M504;07;03;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020302;M400;M504;07;03;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020301;M400;M504;07;03;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020205;M400;M504;07;02;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020204;M400;M504;07;02;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020203;M400;M504;07;02;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020202;M400;M504;07;02;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020201;M400;M504;07;02;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020105;M400;M504;07;01;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020104;M400;M504;07;01;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020103;M400;M504;07;01;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020102;M400;M504;07;01;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50407020101;M400;M504;07;01;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020605;M400;M504;06;06;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020604;M400;M504;06;06;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020603;M400;M504;06;06;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020602;M400;M504;06;06;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020601;M400;M504;06;06;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020505;M400;M504;06;05;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020504;M400;M504;06;05;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020503;M400;M504;06;05;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020502;M400;M504;06;05;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020501;M400;M504;06;05;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020405;M400;M504;06;04;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020404;M400;M504;06;04;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020403;M400;M504;06;04;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020402;M400;M504;06;04;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020401;M400;M504;06;04;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020305;M400;M504;06;03;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020304;M400;M504;06;03;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020303;M400;M504;06;03;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020302;M400;M504;06;03;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020301;M400;M504;06;03;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020205;M400;M504;06;02;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020204;M400;M504;06;02;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020203;M400;M504;06;02;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020202;M400;M504;06;02;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020201;M400;M504;06;02;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020105;M400;M504;06;01;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020104;M400;M504;06;01;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020103;M400;M504;06;01;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020102;M400;M504;06;01;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50406020101;M400;M504;06;01;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020605;M400;M504;05;06;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020604;M400;M504;05;06;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020603;M400;M504;05;06;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020602;M400;M504;05;06;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020601;M400;M504;05;06;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020505;M400;M504;05;05;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020504;M400;M504;05;05;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020503;M400;M504;05;05;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020502;M400;M504;05;05;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020501;M400;M504;05;05;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020405;M400;M504;05;04;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020404;M400;M504;05;04;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020403;M400;M504;05;04;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020402;M400;M504;05;04;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020401;M400;M504;05;04;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020305;M400;M504;05;03;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020304;M400;M504;05;03;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020303;M400;M504;05;03;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020302;M400;M504;05;03;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020301;M400;M504;05;03;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020205;M400;M504;05;02;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020204;M400;M504;05;02;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020203;M400;M504;05;02;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020202;M400;M504;05;02;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020201;M400;M504;05;02;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020105;M400;M504;05;01;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020104;M400;M504;05;01;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020103;M400;M504;05;01;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020102;M400;M504;05;01;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50405020101;M400;M504;05;01;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020605;M400;M504;04;06;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020604;M400;M504;04;06;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020603;M400;M504;04;06;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020602;M400;M504;04;06;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020601;M400;M504;04;06;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020505;M400;M504;04;05;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020504;M400;M504;04;05;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020503;M400;M504;04;05;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020502;M400;M504;04;05;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020501;M400;M504;04;05;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020405;M400;M504;04;04;05;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020404;M400;M504;04;04;04;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020403;M400;M504;04;04;03;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020402;M400;M504;04;04;02;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020401;M400;M504;04;04;01;;;Medicamentos;Estanteria;2;Estanteria;B2ES
M50404020305;M400;M504;04;03;05;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020304;M400;M504;04;03;04;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020303;M400;M504;04;03;03;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020302;M400;M504;04;03;02;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020301;M400;M504;04;03;01;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020205;M400;M504;04;02;05;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020204;M400;M504;04;02;04;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020203;M400;M504;04;02;03;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020202;M400;M504;04;02;02;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020201;M400;M504;04;02;01;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020105;M400;M504;04;01;05;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020104;M400;M504;04;01;04;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020103;M400;M504;04;01;03;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020102;M400;M504;04;01;02;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50404020101;M400;M504;04;01;01;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50403010405;M400;M504;03;04;05;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010404;M400;M504;03;04;04;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010403;M400;M504;03;04;03;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010402;M400;M504;03;04;02;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010401;M400;M504;03;04;01;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010305;M400;M504;03;03;05;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010304;M400;M504;03;03;04;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010303;M400;M504;03;03;03;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010302;M400;M504;03;03;02;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010301;M400;M504;03;03;01;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010205;M400;M504;03;02;05;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010204;M400;M504;03;02;04;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010203;M400;M504;03;02;03;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010202;M400;M504;03;02;02;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010201;M400;M504;03;02;01;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50403010105;M400;M504;03;01;05;;;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50403010104;M400;M504;03;01;04;;;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50403010103;M400;M504;03;01;03;;;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50403010102;M400;M504;03;01;02;;;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50403010101;M400;M504;03;01;01;;;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50402010405;M400;M504;02;04;05;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010404;M400;M504;02;04;04;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010403;M400;M504;02;04;03;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010402;M400;M504;02;04;02;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010401;M400;M504;02;04;01;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010305;M400;M504;02;03;05;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010304;M400;M504;02;03;04;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010303;M400;M504;02;03;03;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010302;M400;M504;02;03;02;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010301;M400;M504;02;03;01;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010205;M400;M504;02;02;05;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010204;M400;M504;02;02;04;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010203;M400;M504;02;02;03;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010202;M400;M504;02;02;02;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010201;M400;M504;02;02;01;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50402010105;M400;M504;02;01;05;;;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50402010104;M400;M504;02;01;04;;;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50402010103;M400;M504;02;01;03;;;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50402010102;M400;M504;02;01;02;;;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50402010101;M400;M504;02;01;01;;;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50401010405;M400;M504;01;04;05;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010404;M400;M504;01;04;04;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010403;M400;M504;01;04;03;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010402;M400;M504;01;04;02;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010401;M400;M504;01;04;01;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010305;M400;M504;01;03;05;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010304;M400;M504;01;03;04;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010303;M400;M504;01;03;03;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010302;M400;M504;01;03;02;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010301;M400;M504;01;03;01;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010205;M400;M504;01;02;05;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010204;M400;M504;01;02;04;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010203;M400;M504;01;02;03;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010202;M400;M504;01;02;02;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010201;M400;M504;01;02;01;;;Medicamentos;Flowrack;5;Flowrack B01;AUTO
M50401010103;M400;M504;01;01;03;;;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50401010102;M400;M504;01;01;02;X;X;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50401010101;M400;M504;01;01;01;;;Medicamentos;Flowrack;6;Flowrack B01;AUTO
M50313020605;M400;M503;13;06;05;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020604;M400;M503;13;06;04;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020603;M400;M503;13;06;03;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020602;M400;M503;13;06;02;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020601;M400;M503;13;06;01;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020505;M400;M503;13;05;05;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020504;M400;M503;13;05;04;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020503;M400;M503;13;05;03;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020502;M400;M503;13;05;02;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020501;M400;M503;13;05;01;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020405;M400;M503;13;04;05;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020404;M400;M503;13;04;04;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020403;M400;M503;13;04;03;X;X;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020402;M400;M503;13;04;02;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020401;M400;M503;13;04;01;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020305;M400;M503;13;03;05;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020304;M400;M503;13;03;04;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020303;M400;M503;13;03;03;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020302;M400;M503;13;03;02;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020301;M400;M503;13;03;01;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020205;M400;M503;13;02;05;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020204;M400;M503;13;02;04;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020203;M400;M503;13;02;03;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020202;M400;M503;13;02;02;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020201;M400;M503;13;02;01;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020105;M400;M503;13;01;05;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020104;M400;M503;13;01;04;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020103;M400;M503;13;01;03;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020102;M400;M503;13;01;02;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50313020101;M400;M503;13;01;01;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50312020605;M400;M503;12;06;05;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50312020604;M400;M503;12;06;04;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50312020603;M400;M503;12;06;03;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50312020602;M400;M503;12;06;02;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50312020601;M400;M503;12;06;01;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50312020505;M400;M503;12;05;05;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50312020504;M400;M503;12;05;04;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50312020503;M400;M503;12;05;03;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50312020502;M400;M503;12;05;02;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50312020501;M400;M503;12;05;01;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
M50312020405;M400;M503;12;04;05;;;Medicamentos;Estanteria;2;Flowrack B01;B2ES
